code,sku,download_res,crop,note
MD301_AV4,MD301,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MD301_AV4_BLACK,MD301,,,
MD301_AV4_WHITE,MD301,,,
MD301_AV5,MD301,,,
MD302,MD302,768x768,,auto: custom download res (or undocumented crop?) — verify
MD302_AV1_BLACK,MD302,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD302_AV1_WHITE,MD302,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD302_AV2_BLACK,MD302,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD302_AV2_WHITE,MD302,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD302_AV3,MD302,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD302_AV3_BLACK,MD302,,,
MD302_AV3_WHITE,MD302,,,
MD302_AV4,MD302,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MD302_AV4_BLACK,MD302,,,
MD302_AV4_WHITE,MD302,,,
MD302_AV5,MD302,,,
MD303,MD303,768x768,,auto: custom download res (or undocumented crop?) — verify
MD303_AV1_BLACK,MD303,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD303_AV1_WHITE,MD303,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD303_AV2_BLACK,MD303,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD303_AV2_WHITE,MD303,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD303_AV3,MD303,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD303_AV3_BLACK,MD303,,,
MD303_AV3_WHITE,MD303,,,
MD303_AV4,MD303,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD303_AV4_BLACK,MD303,,,
MD303_AV4_WHITE,MD303,,,
MD303_AV5,MD303,,,
MD304,MD304,768x768,,auto: custom download res (or undocumented crop?) — verify
MD304_AV1_BLACK,MD304,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD304_AV1_WHITE,MD304,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD304_AV2_BLACK,MD304,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD304_AV2_WHITE,MD304,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD304_AV3,MD304,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD304_AV3_BLACK,MD304,,,
MD304_AV3_WHITE,MD304,,,
MD304_AV4,MD304,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MD304_AV4_BLACK,MD304,,,
MD304_AV4_WHITE,MD304,,,
MD304_AV5,MD304,,,
MD305,MD305,768x768,,auto: custom download res (or undocumented crop?) — verify
MD305_AV1_BLACK,MD305,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD305_AV1_WHITE,MD305,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD305_AV2_BLACK,MD305,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD305_AV2_WHITE,MD305,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD305_AV3,MD305,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD305_AV3_BLACK,MD305,,,
MD305_AV3_WHITE,MD305,,,
MD305_AV4,MD305,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MD305_AV4_BLACK,MD305,,,
MD305_AV4_WHITE,MD305,,,
MD305_AV5,MD305,,,
MD306,MD306,,,
MD306_AV1_BLACK,MD306,,,
MD306_AV1_WHITE,MD306,,,
MD306_AV2_BLACK,MD306,,,
MD306_AV2_WHITE,MD306,,,
MD306_AV3_BLACK,MD306,,,
MD306_AV3_WHITE,MD306,,,
MD306_AV4,MD306,,,
MD307,MD307,768x768,,auto: custom download res (or undocumented crop?) — verify
MD307_AV1_BLACK,MD307,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD307_AV1_WHITE,MD307,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD307_AV2_BLACK,MD307,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD307_AV2_WHITE,MD307,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD307_AV3,MD307,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD307_AV3_BLACK,MD307,,,
MD307_AV3_WHITE,MD307,,,
MD307_AV4,MD307,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MD307_AV4_BLACK,MD307,,,
MD307_AV4_WHITE,MD307,,,
MD307_AV5,MD307,,,
MD308,MD308,768x768,,auto: custom download res (or undocumented crop?) — verify
MD308_AV1_BLACK,MD308,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD308_AV1_WHITE,MD308,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD308_AV2_BLACK,MD308,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD308_AV2_WHITE,MD308,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD308_AV3,MD308,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD308_AV3_BLACK,MD308,,,
MD308_AV3_WHITE,MD308,,,
MD308_AV4,MD308,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MD308_AV4_BLACK,MD308,,,
MD308_AV4_WHITE,MD308,,,
MD308_AV5,MD308,,,
MD309,MD309,768x768,,auto: custom download res (or undocumented crop?) — verify
MD309_AV1_BLACK,MD309,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD309_AV1_WHITE,MD309,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD309_AV2_BLACK,MD309,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD309_AV2_WHITE,MD309,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD309_AV3,MD309,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD309_AV3_BLACK,MD309,,,
MD309_AV3_WHITE,MD309,,,
MD309_AV4,MD309,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MD309_AV4_BLACK,MD309,,,
MD309_AV4_WHITE,MD309,,,
MD309_AV5,MD309,,,
MD310,MD310,768x768,,auto: custom download res (or undocumented crop?) — verify
MD310_AV1_BLACK,MD310,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD310_AV1_WHITE,MD310,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD310_AV2_BLACK,MD310,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD310_AV2_WHITE,MD310,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD310_AV3,MD310,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD310_AV3_BLACK,MD310,,,
MD310_AV3_WHITE,MD310,,,
MD310_AV4,MD310,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MD310_AV4_BLACK,MD310,,,
MD310_AV4_WHITE,MD310,,,
MD310_AV5,MD310,,,
MD3N4,MD3N4,,,
MD3N4_AV1,MD3N4,,,
MD3N4_AV2,MD3N4,,,
MD3P4,MD3P4,,,
MD3P4_AV1,MD3P4,,,
MD3P4_AV2,MD3P4,,,
MD3Q4,MD3Q4,,,
MD3Q4_AV1,MD3Q4,,,
MD3Q4_AV2,MD3Q4,,,
MD3W4,MD3W4,,,
MD3W4_AV1,MD3W4,,,
MD3W4_AV2,MD3W4,,,
MD3X4,MD3X4,,,
MD3X4_AV1,MD3X4,,,
MD3X4_AV2,MD3X4,,,
MD454,MD454,,,
MD454_AV1_BLACK,MD454,,,
MD454_AV1_WHITE,MD454,,,
MD454_AV2_BLACK,MD454,,,
MD454_AV3_BLACK,MD454,,,
MD454_AV4_BLACK,MD454,,,
MD454_AV5,MD454,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD454_AV6,MD454,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD455,MD455,,,
MD455_AV1_BLACK,MD455,,,
MD455_AV1_WHITE,MD455,,,
MD455_AV2_BLACK,MD455,,,
MD455_AV3_BLACK,MD455,,,
MD455_AV4_BLACK,MD455,,,
MD455_AV5,MD455,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD455_AV6,MD455,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD456,MD456,,,
MD456_AV1_BLACK,MD456,,,
MD456_AV1_WHITE,MD456,,,
MD456_AV2_BLACK,MD456,,,
MD456_AV3_BLACK,MD456,,,
MD456_AV4_BLACK,MD456,,,
MD456_AV5,MD456,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD456_AV6,MD456,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD457,MD457,,,
MD457_AV1_BLACK,MD457,,,
MD457_AV1_WHITE,MD457,,,
MD457_AV2_BLACK,MD457,,,
MD457_AV3_BLACK,MD457,,,
MD457_AV4_BLACK,MD457,,,
MD457_AV5,MD457,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD457_AV6,MD457,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD458,MD458,,,
MD458_AV1_BLACK,MD458,,,
MD458_AV1_WHITE,MD458,,,
MD458_AV2_BLACK,MD458,,,
MD458_AV2_WHITE,MD458,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD458_AV3_BLACK,MD458,,,
MD458_AV4_BLACK,MD458,,,
MD458_AV5,MD458,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD458_AV6,MD458,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD579,MD579,1536x1536,,auto: custom download res (or undocumented crop?) — verify
MD579_AV1_BLACK,MD579,,,
MD579_AV1_WHITE,MD579,,,
MD579_AV2_BLACK,MD579,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD579_AV3_BLACK,MD579,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD579_AV4_BLACK,MD579,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD579_AV5,MD579,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD579_AV6,MD579,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD828,MD828,3504x3504,,auto: custom download res (or undocumented crop?) — verify
MD828_AV1_BLACK,MD828,2560x2560,,auto: custom download res (or undocumented crop?) — verify
MD828_AV1_WHITE,MD828,2560x2560,,auto: custom download res (or undocumented crop?) — verify
